,Condition,Drug,Indication,Type,Effective,EaseOfUse,Satisfaction
790,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.67,5.0,4.0
791,endometriosis,Medroxyprogesterone,On Label,RX,4.73,4.55,3.0
792,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.0,3.44,2.22
793,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.5,4.38,2.5
794,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.67,4.33,3.67
795,endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,3.57,4.14,2.43
796,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,3.67,3.67,3.67
797,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,2.0,2.33,1.0
798,endometriosis,Triptorelin Pamoate,Off Label,RX,3.33,3.5,2.17
799,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.4,3.6,1.8
800,endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4.38,4.75,4.13
801,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5.0,5.0,3.67
802,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.33,3.33,3.0
803,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.0,4.2,3.8
804,endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,5.0,5.0,5.0
805,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.6,4.2,3.2
806,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.5,4.25,3.0
807,endometriosis,Medroxyprogesterone,Off Label,RX,4.4,4.8,3.2
809,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,5.0,4.6
810,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,3.0,5.0,3.0
811,endometriosis,Danazol,On Label,RX,2.25,3.5,2.0
812,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.67,5.0,3.67
813,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.8,4.6,1.8
814,endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,3.25,4.5,2.25
815,endometriosis,Nafarelin,On Label,RX,3.0,3.0,2.0
816,endometriosis,Triptorelin Pamoate,Off Label,RX,3.8,2.6,2.6
817,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.75,5.0,4.25
818,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,3.5,2.0,1.0
819,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,3.33,5.0,2.33
820,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,5.0,5.0
821,endometriosis,Goserelin,On Label,RX,4.0,5.0,5.0
822,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.67,3.67,3.33
823,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,4.67,2.33
824,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.5,4.0,2.5
825,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,2.33,3.33,2.0
827,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,5.0,4.5,5.0
828,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.0,5.0,1.0
831,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5.0,3.67,2.0
832,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,2.67,4.67,2.33
833,endometriosis,Norethin-Eth Estrad Biphasic,Off Label,RX,4.5,4.25,3.0
834,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.67,4.33,3.33
835,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,1.0,4.5,1.5
836,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,4.0,4.5
837,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,1.0,1.0,1.0
838,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,5.0,5.0,2.5
839,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.5,4.0,2.0
840,endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,2.0,4.0,2.0
841,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,2.0,5.0,1.0
842,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,5.0,5.0
843,endometriosis,Triptorelin Pamoate,Off Label,RX,4.0,3.0,3.0
846,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,5.0,5.0,5.0
847,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,5.0,5.0
848,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.0,3.0,3.0
849,endometriosis,Medroxyprogesterone,On Label,RX,3.5,5.0,3.0
850,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,5.0,5.0,3.5
851,endometriosis,"Norethin-E.Estradiol Triphasic, Norethindrone-Ethin Estradiol",Off Label,RX,1.0,5.0,1.0
852,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,2.5,3.0,2.5
853,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,5.0,5.0,4.5
854,endometriosis,Triptorelin Pamoate,Off Label,RX,4.0,4.5,2.0
858,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,4.0,5.0
859,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.0,5.0,4.0
860,endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,1.0,3.0,1.0
861,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,5.0,5.0,4.0
862,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,5.0,1.0
863,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.0,4.0,3.0
864,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5.0,5.0,5.0
865,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5.0,5.0,2.0
866,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.0,4.0,1.0
868,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.0,4.0,2.0
869,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,5.0,5.0,5.0
870,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.0,4.0,4.0
871,endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,4.0,4.0,4.0
872,endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,5.0,5.0,5.0
873,endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4.0,5.0,1.0
874,endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,5.0,4.0,3.0
875,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,1.0,1.0,1.0
876,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,5.0,4.0
878,fever,Naproxen,On Label,RX,2.82,3.7,2.42
881,fever,Indomethacin,Off Label,RX,3.97,4.25,3.67
884,fever,Ibuprofen,On Label,RX/OTC,3.37,3.98,3.13
888,fever,Naproxen Sodium,On Label,OTC,3.5,4.24,3.13
889,fever,Acetaminophen,On Label,OTC,3.07,3.85,3.15
890,fever,Naproxen Sodium,On Label,RX/OTC,3.12,4.23,2.73
892,fever,Indomethacin,Off Label,RX,4.22,4.41,4.06
895,fever,Acetaminophen,On Label,OTC,3.31,4.06,3.13
899,fever,Naproxen,Off Label,RX,3.27,3.64,2.91
901,fever,Aspirin,On Label,RX/OTC,4.27,4.64,4.55
905,fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,3.26,4.21,2.63
906,fever,Ibuprofen,On Label,RX/OTC,3.64,4.18,3.64
910,fever,Ibuprofen,On Label,OTC,4.2,4.4,4.2
912,fever,Ibuprofen,On Label,OTC,4.21,4.79,4.0
913,fever,ASA-Acetaminophen-Salicyl-Caff,On Label,RX,2.23,2.46,2.15
914,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,2.75,4.0,2.44
915,fever,Pseudoephedrine-Ibuprofen,On Label,OTC,4.92,4.92,4.75
916,fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,4.75,4.13,4.25
917,fever,Ibuprofen,On Label,OTC,4.75,5.0,4.75
918,fever,Acetaminophen,On Label,OTC,3.73,4.36,3.55
919,fever,Acetaminophen,On Label,OTC,4.5,4.0,4.25
920,fever,Acetaminophen,On Label,OTC,3.0,4.25,2.5
921,fever,Acetaminophen,On Label,OTC,2.2,4.0,2.8
922,fever,Acetaminophen,On Label,OTC,3.5,4.0,3.75
923,fever,Ibuprofen,On Label,OTC,4.0,4.4,4.2
924,fever,Acetaminophen-Caffeine,On Label,OTC,5.0,4.88,4.88
925,fever,Indomethacin,Off Label,RX,4.4,4.6,4.2
926,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,4.0,3.8,4.0
927,fever,Naproxen Sodium,Off Label,RX,3.33,3.67,3.0
928,fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,4.33,5.0,4.33
929,fever,Aspirin,On Label,OTC,5.0,5.0,5.0
930,fever,Chlorpheniram-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
931,fever,Acetaminophen,On Label,OTC,3.67,4.67,4.33
932,fever,Acetaminophen,On Label,OTC,4.5,4.5,4.5
933,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,3.5,5.0,3.25
934,fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,5.0,5.0,5.0
935,fever,"ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf",On Label,OTC,2.6,3.0,2.8
936,fever,ASA-Acetaminophen-Salicyl-Caff,On Label,OTC,5.0,4.0,5.0
937,fever,"Choline,Magnesium Salicylate",On Label,RX,2.33,4.0,1.67
938,fever,Acetaminophen,On Label,OTC,5.0,5.0,5.0
939,fever,Acetaminophen,On Label,OTC,2.0,2.0,1.0
940,fever,Naproxen Sodium,On Label,OTC,4.0,5.0,5.0
941,fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,2.0,2.5,1.0
942,fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,4.0,5.0,2.5
943,fever,"Aspirin, Buffered",On Label,OTC,5.0,5.0,5.0
944,fever,Aspirin,On Label,OTC,3.0,5.0,5.0
945,fever,Acetaminophen,On Label,OTC,1.5,2.5,1.5
946,fever,Phenyltoloxamine-Acetaminophen,On Label,OTC,4.5,4.5,5.0
947,fever,Aspirin,On Label,OTC,4.0,5.0,5.0
948,fever,Acetaminophen,On Label,OTC,3.0,4.0,3.0
949,fever,Naproxen-Pseudoephedrine,On Label,OTC,4.5,5.0,3.0
950,fever,Acetaminophen,On Label,OTC,4.5,4.0,4.5
951,fever,Acetaminophen,On Label,RX,4.0,4.75,4.0
952,fever,Naproxen Sodium,Off Label,RX,4.0,5.0,4.0
953,fever,"Chlorphen-PE-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,5.0,5.0,5.0
954,fever,DM-PE-Acetam/DM-Acetam-Doxylam,On Label,OTC,3.0,3.0,3.0
955,fever,Phenyltoloxamine-Acetaminophen,On Label,OTC,3.67,4.33,3.33
956,fever,Aspirin,On Label,OTC,5.0,5.0,4.5
957,fever,Ibuprofen,On Label,OTC,4.0,4.67,4.33
960,fever,Aspirin,On Label,OTC,4.5,4.5,4.5
961,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,4.67,5.0,4.33
962,fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
963,fever,Pseudoeph-DM-GG-Acetaminophen,On Label,RX,4.0,3.0,4.0
964,fever,Acetaminophen,On Label,RX,1.67,3.0,1.67
965,fever,Phenyltoloxamine-Acetaminophen,On Label,RX/OTC,2.5,4.0,2.5
966,fever,"Chlorpheniramine-Acetaminophen, Chlorphen-PPA-Acetaminophen",On Label,OTC,4.0,3.0,5.0
967,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,3.5,3.0,1.5
968,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,2.75,4.25,2.5
969,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,4.0,4.67,3.0
970,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3.0,4.0,2.0
971,fever,Ibuprofen,On Label,OTC,2.5,3.0,1.0
973,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,3.0,4.0,2.0
974,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,4.5
975,fever,Aspirin,On Label,OTC,4.0,5.0,4.0
976,fever,"Aspirin, Buffered",On Label,OTC,4.0,4.5,5.0
977,fever,Aspirin,On Label,OTC,1.0,4.0,1.0
978,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,3.0,3.5,3.0
979,fever,Ibuprofen,On Label,RX,4.5,4.5,4.0
980,fever,Pseudoephedrine-Ibuprofen,On Label,OTC,2.0,4.0,1.0
981,fever,Aspirin,On Label,OTC,4.5,4.5,4.5
982,fever,Naproxen-Pseudoephedrine,On Label,OTC,4.33,4.33,4.33
983,fever,Naproxen-Pseudoephedrine,On Label,OTC,4.0,4.0,4.0
984,fever,Naproxen-Pseudoephedrine,On Label,OTC,5.0,5.0,5.0
985,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3.5,4.5,3.5
986,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,3.5,4.0,3.5
987,fever,"Pseudoephed-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,5.0,5.0,5.0
989,fever,Chlorpheniram-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
990,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,1.0,5.0,1.0
991,fever,Naproxen Sodium,On Label,OTC,3.5,4.0,3.0
992,fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,4.0,4.5,4.5
993,fever,Pseudoeph-DM-GG-Acetaminophen,On Label,RX,3.5,4.0,2.0
994,fever,Phenyltoloxamine-Acetaminophen,On Label,RX/OTC,4.0,5.0,4.0
995,fever,Acetaminophen,On Label,OTC,5.0,5.0,3.0
996,fever,Acetaminophen,On Label,OTC,5.0,5.0,5.0
997,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,1.0,4.33,1.0
998,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,2.0,1.0,1.0
999,fever,Ibuprofen,On Label,OTC,4.0,4.5,4.0
1000,fever,"Aspirin, Buffered",On Label,OTC,5.0,5.0,5.0
1001,fever,"Aspirin, Buffered",On Label,OTC,3.0,4.0,3.0
1002,fever,Acetaminophen,On Label,OTC,4.0,5.0,4.0
1005,fever,"Acetaminophen-Pamabrom, Ibuprofen",On Label,OTC,5.0,5.0,5.0
1006,fever,Cpm-PPA-DM-Acetaminophen,On Label,OTC,4.0,5.0,4.5
1007,fever,Ibuprofen,On Label,OTC,5.0,5.0,5.0
1008,fever,Acetaminophen,On Label,OTC,4.0,4.0,4.0
1011,fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,1.0,1.0,1.0
1012,fever,ASA-Acetaminophen-Salicyl-Caff,On Label,OTC,1.0,1.0,1.0
1013,fever,Naproxen Sodium,On Label,OTC,4.0,5.0,5.0
1014,fever,"Doxylamin-PSE-DM-Acetaminophen, Chlorphen-PE-DM-Acetaminophen",On Label,OTC,3.0,4.0,4.0
1015,fever,Phenyltoloxamine-Acetaminophen,On Label,OTC,2.0,4.0,1.5
1016,fever,Acetaminophen,On Label,OTC,1.0,1.0,1.0
1017,fever,Acetaminophen,On Label,OTC,3.0,4.0,1.0
1018,fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,4.0,5.0,4.0
1019,fever,Acetaminophen,On Label,OTC,1.0,1.0,2.0
1020,fever,Aspirin,On Label,OTC,1.0,1.0,1.0
1021,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,4.5,4.5,5.0
1022,fever,"Cpm-PPA-DM-Acetaminophen, Acetaminophen",On Label,OTC,5.0,5.0,2.0
1023,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,4.0,5.0,4.0
1024,fever,Ibuprofen,On Label,OTC,4.0,4.0,5.0
1025,fever,Ibuprofen,On Label,OTC,3.5,4.5,2.5
1026,fever,Aspirin,On Label,OTC,2.5,4.0,2.0
1027,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,1.0,1.0,1.0
1028,fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5.0,5.0,4.0
1029,fever,Acetaminophen,On Label,OTC,1.5,3.0,1.5
1030,fever,"Choline,Magnesium Salicylate",On Label,RX,5.0,5.0,5.0
1032,fever,Naproxen-Pseudoephedrine,On Label,OTC,5.0,5.0,5.0
1033,fever,Phenyltoloxamine-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1034,fever,Acetaminophen,On Label,OTC,5.0,1.0,1.0
1036,fever,Aspirin,On Label,OTC,2.0,2.5,1.5
1037,fever,Acetaminophen,On Label,OTC,3.0,4.0,2.0
1038,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1039,fever,Acetaminophen,On Label,OTC,5.0,5.0,5.0
1040,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,2.5,4.0,2.0
1041,fever,Acetaminophen,On Label,OTC,2.0,4.0,3.0
1043,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1044,fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,4.5,4.5,4.5
1045,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1046,fever,Pseudoephedrine-Ibuprofen,On Label,OTC,2.0,2.0,2.0
1047,fever,Pseudoephedrine-Ibuprofen,On Label,OTC,4.0,5.0,5.0
1048,fever,Acetaminophen-DM,On Label,OTC,1.0,1.0,1.0
1049,fever,Aspirin-Acetaminophen-Caffeine,On Label,OTC,5.0,5.0,4.0
1051,fever,Aspirin,On Label,OTC,3.0,5.0,3.0
1052,fever,"Aspirin, Buffered",On Label,OTC,5.0,5.0,5.0
1053,fever,"Aspirin, Buffered",On Label,OTC,3.0,4.0,4.0
1054,fever,Ibuprofen,On Label,OTC,3.0,5.0,3.0
1056,fever,Phenyltoloxamine-Acetaminophen,On Label,OTC,2.0,5.0,3.0
1057,fever,"Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2.0,2.0,1.0
1061,fever,Acetaminophen-DM,On Label,OTC,5.0,5.0,5.0
1062,fever,Acetaminophen,On Label,OTC,4.0,2.0,4.0
1063,fever,Ibuprofen,On Label,OTC,1.0,1.0,1.0
1064,fever,Aspirin,On Label,OTC,5.0,5.0,5.0
1065,fever,Acetaminophen,On Label,OTC,5.0,5.0,5.0
1066,fever,"Pseudoephedrine-Ibuprofen, Ibuprofen",On Label,OTC,5.0,5.0,5.0
1068,fever,Acetaminophen,On Label,OTC,5.0,4.0,5.0
1069,fever,Ibuprofen,On Label,RX,5.0,5.0,5.0
1072,fever,Naproxen-Pseudoephedrine,On Label,OTC,5.0,4.0,4.0
1073,fever,Acetaminophen,On Label,OTC,1.0,1.0,1.0
1074,fever,"Doxylamine-PE-DM-Acetaminophen, Diphenhydramine-PPA-ASA",On Label,OTC,4.0,5.0,5.0
1075,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,5.0,5.0,5.0
1076,fever,Acetaminophen,On Label,OTC,3.0,3.0,5.0
1077,fever,"Pseudoephedrine-Ibuprofen, Brompheniram-PSE-Acetaminophen",On Label,OTC,1.0,4.0,1.0
1078,fever,ASA-Acetaminophen-Salicyl-Caff,On Label,OTC,1.0,1.0,1.0
1079,fever,Ibuprofen,On Label,OTC,5.0,5.0,5.0
1080,fever,Aspirin,On Label,OTC,4.0,5.0,5.0
1082,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3.0,5.0,3.0
1083,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,4.0,5.0,3.0
1085,fever,Chlorpheniramine-Acetaminophen,On Label,OTC,3.0,5.0,1.0
1088,fever,Naproxen-Pseudoephedrine,On Label,OTC,4.0,4.0,2.0
1089,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,5.0,5.0,5.0
1091,fever,Cpm-PPA-DM-Acetaminophen,On Label,OTC,4.0,4.0,4.0
1095,fever,Acetaminophen,On Label,OTC,3.0,4.0,3.0
1096,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,5.0,5.0,3.0
1097,fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5.0,5.0,1.0
1098,fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1100,fever,"Chlorphenir-Phenylephrn-Aspirn, Diphenhydramine-Acetaminophen, Cpm-Phenyleph-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2.0,2.0,5.0
1104,fever,Ibuprofen,On Label,OTC,4.0,3.0,3.0
1105,fever,Indomethacin,Off Label,RX,1.0,4.0,1.0
1106,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,4.0,5.0,4.0
1109,fever,Chlorpheniram-DM-Acetaminophen,On Label,OTC,3.0,5.0,2.0
1110,fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,3.0,4.0,3.0
1111,fever,Ibuprofen,On Label,OTC,4.0,4.0,4.0
1114,fever,Acetaminophen,On Label,OTC,2.0,3.0,4.0
1115,fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1116,fever,Aspirin,On Label,OTC,1.0,1.0,1.0
1117,fever,Aspirin,On Label,OTC,3.0,4.0,4.0
1119,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3.0,3.0,3.0
1120,fever,Naproxen Sodium,On Label,OTC,4.0,3.0,4.0
1122,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,4.0,5.0,1.0
1123,fever,Aspirin,On Label,RX,1.0,1.0,1.0
1124,fever,Acetaminophen,On Label,OTC,4.0,5.0,5.0
1126,fever,Acetaminophen,On Label,OTC,3.0,3.0,3.0
1127,fever,Doxylamine-PE-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1128,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,4.0,5.0,4.0
1130,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,3.0,5.0,3.0
1131,fever,Ibuprofen,On Label,RX,3.0,3.0,3.0
1133,fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,4.0,5.0,4.0
1134,fever,"Aspirin, Buffered",On Label,OTC,1.0,1.0,1.0
1136,fever,Ibuprofen,On Label,RX,4.0,5.0,2.0
1139,fever,Pseudoephedrine-Ibuprofen,On Label,OTC,3.0,3.0,3.0
1140,fever,Acetaminophen,On Label,OTC,4.0,4.0,4.0
1141,fever,Aspirin,On Label,OTC,4.0,4.0,4.0
1142,fever,Acetaminophen,On Label,OTC,1.0,3.0,1.0
1144,fever,Aspirin-Calcium Carbonate,On Label,OTC,5.0,5.0,5.0
1145,fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1146,fever,Acetaminophen,On Label,OTC,1.0,5.0,1.0
1149,fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,5.0,5.0,3.0
1151,fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,1.0,1.0,1.0
1152,fever,Doxylamine-PE-DM-Acetaminophen,On Label,OTC,1.0,1.0,1.0
1153,fever,"Pseudoeph-DM-GG-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,4.0,5.0,4.0
1154,fever,"Pseudoeph-DM-GG-Acetaminophen, Chlorphen-PE-DM-Acetaminophen",On Label,OTC,3.0,3.0,4.0
1156,fever,Indomethacin,Off Label,RX,3.0,5.0,4.0
1157,fever,Phenyltoloxamine-Acetaminophen,On Label,RX,1.0,3.0,1.0
1158,fever,Acetaminophen,On Label,OTC,4.0,3.0,5.0
1159,fever,Chlorpheniramine-Acetaminophen,On Label,OTC,4.0,3.0,2.0
1160,fever,"Aspirin-Acetaminophen-Caffeine, Aspirin, Phenyltoloxamine-Acetaminophen",On Label,OTC,2.0,2.0,2.0
1165,fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,3.0,5.0,3.0
1166,fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1167,fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,3.0,5.0,5.0
1169,fever,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1170,fever,Acetaminophen-DM,On Label,OTC,2.0,5.0,3.0
1171,fever,"Pseudoeph-DM-GG-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,3.0,5.0,3.0
1175,fever,Ibuprofen,On Label,OTC,4.0,3.0,4.0
1176,fever,Doxylamine-PE-DM-Acetaminophen,On Label,OTC,4.0,5.0,3.0
1177,fever,"Pseudoephed-DM-Acetaminophen, Phenylpropanolamine-GG, Chlorpheniramine-Pseudoephed",On Label,OTC,3.0,3.0,3.0
1181,fever,Chlorpheniram-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
1182,fever,Doxylamine-PE-DM-Acetaminophen,On Label,OTC,5.0,4.0,4.0
1184,fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,4.0,5.0,4.0
1185,fever,Doxylam-PE-DM-Acetaminophen-GG,On Label,OTC,4.0,5.0,5.0
1186,fibromyalgia,Duloxetine,On Label,RX,3.41,4.13,3.08
1187,fibromyalgia,Pregabalin,On Label,RX,3.38,4.07,3.0
1188,fibromyalgia,Amitriptyline,Off Label,RX,3.53,4.29,3.15
1189,fibromyalgia,Cyclobenzaprine,Off Label,RX,3.6,4.31,3.34
1190,fibromyalgia,Paroxetine Hcl,Off Label,RX,3.72,4.23,3.23
1191,fibromyalgia,Cyclobenzaprine,Off Label,RX,3.43,4.22,3.22
1192,fibromyalgia,Mirtazapine,Off Label,RX,3.26,4.23,2.9
1194,fibromyalgia,Amitriptyline,Off Label,RX,3.36,4.15,3.02
1195,fibromyalgia,Pramipexole,Off Label,RX,3.96,4.27,3.71
1196,fibromyalgia,Paroxetine Hcl,Off Label,RX,3.36,4.24,3.0
1199,fibromyalgia,Cyclobenzaprine,Off Label,RX,3.12,4.18,2.97
1200,fibromyalgia,Tramadol-Acetaminophen,Off Label,RX,3.32,4.4,3.13
1201,fibromyalgia,Tramadol-Acetaminophen,Off Label,RX,3.07,4.07,2.9
1202,fibromyalgia,Duloxetine,On Label,RX,3.51,3.85,3.21
1204,fibromyalgia,Pramipexole,Off Label,RX,4.0,4.27,3.81
1206,fibromyalgia,Amitriptyline,Off Label,RX,2.8,3.9,2.4
1207,fibromyalgia,Mirtazapine,Off Label,RX,3.36,4.0,3.18
1208,fibromyalgia,Pramipexole,Off Label,RX,4.43,4.43,4.0
1209,fibromyalgia,Cyclobenzaprine,Off Label,RX,4.25,5.0,4.0
1210,fibromyalgia,Milnacipran,On Label,RX,3.57,4.29,3.57
1211,fibromyalgia,Duloxetine,On Label,RX,5.0,4.0,4.0
1212,fibromyalgia,Amitriptyline,Off Label,RX,3.0,4.0,3.0
1213,flatulence,Simethicone,On Label,OTC,3.68,4.46,3.46
1216,flatulence,Simethicone,On Label,OTC,2.64,4.64,2.82
1218,flatulence,Simethicone,On Label,OTC,4.25,4.56,4.0
